id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,local_code
12243,5A8,medium_airport,Aleknagik / New Airport,59.2826004028,-158.617996216,66,NA,US,US-AK,Aleknagik,yes,5A8,WKK,5A8
19042,K79J,medium_airport,South Alabama Regional At Bill Benton Field Airport,31.3088,-86.393799,310,NA,US,US-AL,Andalusia/Opp,no,K79J,,79J
3356,KABE,medium_airport,Lehigh Valley International Airport,40.652099609375,-75.440803527832,393,NA,US,US-PA,Allentown,yes,KABE,ABE,ABE
3357,KABI,medium_airport,Abilene Regional Airport,32.4113006592,-99.6819000244,1791,NA,US,US-TX,Abilene,yes,KABI,ABI,ABI
16091,KABQ,large_airport,Albuquerque International Sunport,35.040199,-106.609001,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,ABQ
3358,KABR,medium_airport,Aberdeen Regional Airport,45.4491004943848,-98.4217987060547,1302,NA,US,US-SD,Aberdeen,yes,KABR,ABR,ABR
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.5354995727539,-84.1945037841797,197,NA,US,US-GA,Albany,yes,KABY,ABY,ABY
3360,KACK,medium_airport,Nantucket Memorial Airport,41.25310135,-70.06020355,47,NA,US,US-MA,Nantucket,yes,KACK,ACK,ACK
3361,KACT,medium_airport,Waco Regional Airport,31.6112995147705,-97.2304992675781,516,NA,US,US-TX,Waco,yes,KACT,ACT,ACT
3362,KACV,medium_airport,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221,NA,US,US-CA,Arcata/Eureka,yes,KACV,ACV,ACV
3363,KACY,medium_airport,Atlantic City International Airport,39.4575996398926,-74.5772018432617,75,NA,US,US-NJ,Atlantic City,yes,KACY,ACY,ACY
3364,KADW,large_airport,Joint Base Andrews,38.810799,-76.866997,280,NA,US,US-MD,Camp Springs,no,KADW,ADW,ADW
3365,KAEX,medium_airport,Alexandria International Airport,31.3274002075195,-92.5497970581055,89,NA,US,US-LA,Alexandria,yes,KAEX,AEX,AEX
3366,KAFW,large_airport,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,722,NA,US,US-TX,Fort Worth,no,KAFW,AFW,AFW
3367,KAGC,medium_airport,Allegheny County Airport,40.3544006347656,-79.9301986694336,1252,NA,US,US-PA,Pittsburgh,no,KAGC,AGC,AGC
3368,KAGS,large_airport,Augusta Regional At Bush Field,33.3698997497559,-81.9645004272461,144,NA,US,US-GA,Augusta,yes,KAGS,AGS,AGS
3369,KAHN,medium_airport,Athens Ben Epps Airport,33.948600769043,-83.326301574707,808,NA,US,US-GA,Athens,yes,KAHN,AHN,AHN
3370,KAKR,medium_airport,Akron Fulton International Airport,41.0374984741,-81.4669036865,1067,NA,US,US-OH,Akron,no,KAKR,AKC,AKR
3371,KALB,medium_airport,Albany International Airport,42.7482986450195,-73.8016967773438,285,NA,US,US-NY,Albany,yes,KALB,ALB,ALB
3372,KALI,medium_airport,Alice International Airport,27.7409000397,-98.0269012451,178,NA,US,US-TX,Alice,no,KALI,ALI,ALI
3373,KALM,medium_airport,Alamogordo White Sands Regional Airport,32.8399009705,-105.990997314,4200,NA,US,US-NM,Alamogordo,no,KALM,ALM,ALM
3374,KALN,medium_airport,St Louis Regional Airport,38.8903007507,-90.0459976196,544,NA,US,US-IL,Alton/St Louis,no,KALN,ALN,ALN
3375,KALO,medium_airport,Waterloo Regional Airport,42.5570983886719,-92.4002990722656,873,NA,US,US-IA,Waterloo,yes,KALO,ALO,ALO
19275,KALS,medium_airport,San Luis Valley Regional Bergman Field,37.434898,-105.866997,7539,NA,US,US-CO,Alamosa,yes,KALS,ALS,ALS
3376,KALW,medium_airport,Walla Walla Regional Airport,46.09489822,-118.288002,1194,NA,US,US-WA,Walla Walla,yes,KALW,ALW,ALW
3377,KAMA,large_airport,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607,NA,US,US-TX,Amarillo,yes,KAMA,AMA,AMA
3378,KANB,medium_airport,Anniston Regional Airport,33.5882,-85.8581,612,NA,US,US-AL,Anniston,no,KANB,ANB,ANB
3379,KAND,medium_airport,Anderson Regional Airport,34.4945983887,-82.7093963623,782,NA,US,US-SC,Anderson,no,KAND,AND,AND
3380,KAOO,medium_airport,Altoona Blair County Airport,40.29639816,-78.31999969,1503,NA,US,US-PA,Altoona,yes,KAOO,AOO,AOO
19291,KAPA,medium_airport,Centennial Airport,39.57009888,-104.848999,5885,NA,US,US-CO,Denver,no,KAPA,APA,APA
19293,KAPF,medium_airport,Naples Municipal Airport,26.1525993347,-81.7752990723,8,NA,US,US-FL,Naples,no,KAPF,APF,APF
3381,KAPG,medium_airport,Phillips Army Air Field,39.466202,-76.1688,57,NA,US,US-MD,Aberdeen Proving Grounds(Aberdeen),no,KAPG,APG,APG
3382,KAPN,medium_airport,Alpena County Regional Airport,45.0780983,-83.56030273,690,NA,US,US-MI,Alpena,yes,KAPN,APN,APN
19301,KARA,medium_airport,Acadiana Regional Airport,30.0378,-91.883904,24,NA,US,US-LA,New Iberia,no,KARA,ARA,ARA
3383,KART,medium_airport,Watertown International Airport,43.9919013977051,-76.0216979980469,325,NA,US,US-NY,Watertown,yes,KART,ART,ART
